Name,Score,Genders,Type,Episodes,Premiered,Producers,Source,Duration per ep.,Rating
Amagami SS+ Plus,7.44,"Slice of Life, Comedy, Romance, School",TV,13,2012,TBS,Visual novel,24 min,PG-13 - Teens 13 or older
Amagi Brilliant Park,7.52,Drama,TV,13,2014,Avex Entertainment,Light novel,24 min,PG-13 - Teens 13 or older
Amai Choubatsu: Watashi wa Kanshu Senyou Pet,5.47,Ecchi,TV,13,2018,Picante Circus,Web manga,3 min,R+ - Mild Nudity
Amanchu!,7.27,"Slice of Life, Comedy, School, Shounen",TV,12,2016,Pony Canyon,Manga,23 min,PG-13 - Teens 13 or older
Amanchu! Advance,7.13,"Slice of Life, Comedy, School, Shounen",TV,12,2018,Pony Canyon,Manga,23 min,PG-13 - Teens 13 or older
Amatsuki,6.92,Action,TV,13,2008,Frontier Works,Manga,23 min,PG-13 - Teens 13 or older
Ame-iro Cocoa,4.72,Comedy,TV,12,2015,DAX Production,Digital manga,2 min,PG-13 - Teens 13 or older
Ame-iro Cocoa: Rainy Color e Youkoso!,4.8,"Slice of Life, Comedy",TV,12,2015,DAX Production,Digital manga,2 min,PG-13 - Teens 13 or older
Amnesia,6.07,"Harem, Mystery, Romance, Fantasy, Josei",TV,12,2013,Geneon Universal Entertainment,Visual novel,23 min,PG-13 - Teens 13 or older
Android Ana Maico 2010,6.44,Drama,TV,24,1998,Pony Canyon,Manga,14 min,PG-13 - Teens 13 or older
Ange Vierge,6.03,Adventure,TV,12,2016,Sotsu,Card game,23 min,R+ - Mild Nudity
Angel Beats!,8.15,Action,TV,13,2010,Aniplex,Original,24 min,PG-13 - Teens 13 or older
Angel Heart,7.3,Action,TV,50,2005,Aniplex,Manga,23 min,PG-13 - Teens 13 or older
Angolmois: Genkou Kassenki,7.15,Action,TV,12,2018,HOTZIPANG,Manga,23 min,PG-13 - Teens 13 or older
Ani ni Tsukeru Kusuri wa Nai!,7.46,"Slice of Life, Comedy, School",TV,12,2017,Big West,Web manga,3 min,PG-13 - Teens 13 or older
